,in_amount_mmol,p_amount_mmol,first_sol_amount_ml,TOP_amount_mmol,acid_amount_mmol,amine_amount_mmol,thiol_amount_mmol,zinc_amount_mmol,other_amount_mmol,total_volume_ml,temp_c,time_min,x0_chloroindium oxalate,x0_indium acetate,x0_indium bromide,x0_indium chloride,x0_indium iodide,x0_indium myristate,x0_indium oxalate,x0_indium trifluoroacetate,"x0_indium tris(N,N?-diisopropylacetamidinato) ",x1_phosphine gas,x1_phosphorus trichloride,x1_sodium phosphide,x1_tris(diethylamino)phosphine,x1_tris(diethylamino)phosphine ,x1_tris(dimethylamino)phosphine,x1_tris(trimethylgermyl)phosphine,x1_tris(trimethylsilyl)phosphine,x2_4-ethylpyridine,x2_None,x2_mesitylene,x2_octadecene,x2_toluene,x3_None,x3_trioctylphosphine,x4_None,x4_lauric acid,x4_myristic acid,x4_oleic acid,x4_palmitic acid,x4_stearic acid,x5_None,x5_dioctylamine,x5_dodecylamine,x5_hexadecylamine,x5_octylamine,x5_oleylamine,x5_oleylamine ,x6_None,x6_dodecanethiol,x7_None,x7_zinc acetate,x7_zinc chloride,x7_zinc iodide,x7_zinc oleate,x7_zinc stearate,x7_zinc undecylenate,x8_None,x8_copper bromide,x8_dioctyl ether,x8_oleic acid,x8_trioctylamine,x8_trioctylphosphine oxide,x8_water,x8_zinc iodide,diameter_nm
30,-0.463479149,-0.813067195,-0.059811466,-0.498168428,0.25416053,-0.3734939,-0.119522861,-0.614002331,-0.419933271,-0.24727701,-1.054678105,-0.527829994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.7
31,-0.049250433,-0.610798449,3.972529344,-0.498168428,0.698123757,-0.606822187,-0.119522861,-0.614002331,-0.419933271,3.576427315,0.849643198,-0.433752099,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
32,-0.663689695,-0.880715605,-0.030378322,-0.498168428,-0.223953715,-0.606822187,-0.119522861,-0.614002331,-0.419933271,-0.23338241,0.849643198,-0.400548136,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.3
33,-0.636074447,-0.880715605,0.146220546,-0.250597518,-0.172727188,-0.606822187,-0.119522861,-0.614002331,-0.419933271,-0.009275956,1.590212593,-0.532257189,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.8
34,-0.670593507,1.081088291,-0.324709768,-0.498168428,-0.223953715,-0.606822187,-0.119522861,-0.614002331,-0.419933271,-0.513515478,-0.631495593,-0.525062997,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.5
35,-0.670593507,1.081088291,-0.324709768,-0.498168428,-0.223953715,-0.606822187,-0.119522861,-0.614002331,-0.419933271,-0.513515478,0.638051942,-0.525062997,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.3
36,-0.463479149,-0.677770375,-0.265843478,-0.498168428,-0.326406767,-0.376564009,-0.119522861,-0.614002331,-0.419933271,-0.429811717,-1.096996356,-0.531150391,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5
37,0.088825806,-0.136583093,-0.265843478,-0.498168428,-0.326406767,-0.376564009,-0.119522861,-0.614002331,-0.419933271,-0.429811717,-1.096996356,-0.515655208,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.5
38,0.64113076,-0.8468914,-0.1481109,-0.250597518,-0.326406767,-0.606822187,-0.119522861,-0.614002331,-0.419933271,-0.289409024,1.484416965,-0.516762007,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
39,2.021893146,0.404604189,0.154461826,-0.498168428,4.625490767,-0.606822187,-0.119522861,-0.614002331,-0.419933271,0.214830499,1.590212593,-0.522296,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.1
