doi,in_source,in_amount_mmol,p_source,p_amount_mmol,first_sol,first_sol_amount_ml,second_sol,second_sol_amount_ml,acid,acid_amount_mmol,ligand_source,ligand_amount_mmol,other_1,other_1_amount_mmol,other_2,other_2_amount_mmol,total_volume_ml,temp_c,time_min,diameter_nm,abs_nm,emission_nm,date_input,user
10.1007/s11051-013-1750-y,indium chloride,0.88,tris(dimethylamino)phosphine,1.38,None,0,None,0,None,0,oleylamine,15.2,zinc chloride,0.9,None,0,5.002,220,1,None,537,None,6/26/2021,Hao
10.1007/s11051-013-1750-y,indium chloride,0.88,tris(dimethylamino)phosphine,1.38,None,0,None,0,None,0,oleylamine,15.2,zinc chloride,1.32,None,0,5.002,220,1,None,532,None,6/26/2021,Hao
10.1039/C6NR04713K,indium chloride,0.3,tris(dimethylamino)phosphine,0.08,None,0,None,0,None,0,oleylamine,15.2,zinc chloride,2.2,None,0,5.002,180,1,None,461,None,6/26/2021,Hao
10.1039/C6NR04713K,indium chloride,0.3,tris(dimethylamino)phosphine,0.08,None,0,None,0,None,0,oleylamine,15.2,zinc chloride,2.2,water,1.2,5.002,180,1,None,438,None,6/26/2021,Hao
10.1039/C6NR04713K,indium chloride,0.3,tris(dimethylamino)phosphine,0.08,None,0,None,0,None,0,oleylamine,15.2,zinc chloride,2.2,None,0,5.002,180,3,None,496,None,6/26/2021,Hao
10.1039/C6NR04713K,indium chloride,0.3,tris(dimethylamino)phosphine,0.08,None,0,None,0,None,0,oleylamine,15.2,zinc chloride,2.2,water,1.2,5.002,180,3,None,460,None,6/26/2021,Hao
10.1007/s11051-013-1750-y,indium chloride,0.88,tris(dimethylamino)phosphine,1.38,None,0,None,0,None,0,oleylamine,15.2,zinc chloride,0.9,None,0,5.002,220,30,None,572,None,6/26/2021,Hao
10.1007/s11051-013-1750-y,indium chloride,0.88,tris(dimethylamino)phosphine,1.38,None,0,None,0,None,0,oleylamine,15.2,zinc chloride,1.32,None,0,5.002,220,30,None,575,None,6/26/2021,Hao
10.1021/acs.inorgchem.0c03117,indium paltimate,0.15,tris(trimethylsilyl)phosphine,0.12,octadecene,16,trioctylphosphine,2,None,0,None,0,None,0,None,0,18,305,10,None,480,None,7/6/2021,Hao
10.1016/j.apsusc.2019.01.067,indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,zinc chloride,4.4,None,0,5.66,180,5,None,515,None,7/11/2021,Nayon
10.1016/j.apsusc.2019.01.067,indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,zinc chloride,4.4,None,0,5.66,220,5,None,552,None,7/11/2021,Nayon
10.1016/j.apsusc.2019.01.067,indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,zinc chloride,4.4,None,0,5.66,160,10,None,455,None,7/11/2021,Nayon
