in_source,in_amount_mmol,p_source,p_amount_mmol,sol,sol_amount_ml,TOP,TOP_amount_mmol,acid,acid_amount_mmol,amine,amine_amount_mmol,thiol,thiol_amount_mmol,zinc,zinc_amount_mmol,other,other_amount_mmol,total_volume_ml,temp_c,time_min,emission_nm
indium acetate,0.08,tris(trimethylsilyl)phosphine,0.08,octadecene,7,None,0,myristic acid,0.26,octylamine,0.38,None,0,None,0,None,0,7.063,200,30,590
indium acetate,1,tris(trimethylsilyl)phosphine,1,octadecene,1,None,0,None,0,None,0,dodecanethiol,0.5,zinc octanoate,2,None,0,1.12,180,60,500
indium acetate,1,tris(trimethylsilyl)phosphine,1,octadecene,1,None,0,None,0,None,0,dodecanethiol,0.5,zinc octanoate,2,None,0,1.12,180,120,520
indium acetate,1,tris(trimethylsilyl)phosphine,1,octadecene,1,None,0,None,0,None,0,dodecanethiol,0.5,zinc octanoate,2,None,0,1.12,180,240,538
indium acetate,1,tris(trimethylsilyl)phosphine,1,octadecene,1,None,0,None,0,None,0,dodecanethiol,0.5,zinc octanoate,2,None,0,1.12,200,75,540
indium acetate,1,tris(trimethylsilyl)phosphine,1,octadecene,1,None,0,None,0,None,0,dodecanethiol,0.5,zinc octanoate,2,None,0,1.12,280,30,590
indium acetate,1,tris(trimethylsilyl)phosphine,1,octadecene,1,None,0,None,0,None,0,dodecanethiol,0.5,zinc octanoate,2,None,0,1.12,280,120,600
indium acetate,4,tris(trimethylsilyl)phosphine,2,octadecene,17,None,0,myristic acid,14.5,None,0,None,0,None,0,None,0,17,285,20,579
indium chloride,0.1,tris(trimethylsilyl)phosphine,0.2,octadecene,6,None,0,stearic acid,0.01,hexadecylamine,0.2,None,0,zinc undecylenate,0.01,None,0,6.052,230,20,645
indium acetate,0.2,tris(trimethylsilyl)phosphine,0.1,octadecene,10,trioctylphosphine,1.121047504,palmitic acid,0.6,None,0,None,0,None,0,None,0,10.5,280,20,615
indium chloride,0.45,tris(diethylamino)phosphine,1.6,octadecene,11,None,0,myristic acid,0.45,oleylamine,9,None,0,zinc iodide,2.2,None,0,13.962,150,30,470
