in_source,in_amount_mmol,p_source,p_amount_mmol,sol,sol_amount_ml,TOP,TOP_amount_mmol,acid,acid_amount_mmol,amine,amine_amount_mmol,thiol,thiol_amount_mmol,zinc,zinc_amount_mmol,other,other_amount_mmol,total_volume_ml,temp_c,time_min,abs_nm
indium chloride,0.23,tris(diethylamino)phosphine,0.8,None,0,None,0,None,0,oleylamine,7.5,None,0,zinc chloride,1.1,None,0,2.468,180,20,573
indium chloride,0.45,tris(diethylamino)phosphine,1.6,None,0,None,0,None,0,oleylamine,33,None,0,zinc iodide,2.2,None,0,10.858,150,30,428
indium chloride,0.45,tris(diethylamino)phosphine,1.6,None,0,None,0,None,0,oleylamine,15,None,0,zinc iodide,2.2,None,0,4.936,180,30,423
indium chloride,0.45,tris(diethylamino)phosphine,1.6,None,0,None,0,None,0,oleylamine,15,None,0,zinc bromide,2.2,None,0,4.936,180,30,573
indium chloride,0.45,tris(diethylamino)phosphine,1.6,None,0,None,0,None,0,oleylamine,33,None,0,zinc bromide,2.2,None,0,10.858,150,30,478
indium chloride,0.45,tris(diethylamino)phosphine,1.6,None,0,None,0,None,0,oleylamine,33,None,0,zinc chloride,2.2,None,0,10.858,150,30,568
indium chloride,0.45,tris(diethylamino)phosphine,1.6,None,0,None,0,None,0,oleylamine,15,None,0,zinc chloride,2.2,None,0,4.936,180,30,570
indium iodide,0.3,tris(dimethylamino)phosphine,0.66,None,0,None,0,None,0,oleylamine,6,None,0,zinc chloride,0.73,None,0,1.975,180,2,505
indium acetate,0.7,tris(trimethylsilyl)phosphine,0.35,octadecene,40,None,0,palmitic acid,2.1,None,0,None,0,None,0,None,0,40,270,180,532
indium myristate,0.3,tris(trimethylsilyl)phosphine,0.15,octadecene,4,trioctylphosphine,2.242095008,None,0,None,0,None,0,None,0,None,0,5,210,20,551
indium acetate,0.5,phosphorus trichloride,0.5,octadecene,34,None,0,stearic acid,1.5,None,0,None,0,None,0,dioctyl ether,3,34.901,250,240,562
indium myristate,0.3,tris(trimethylgermyl)phosphine,0.15,octadecene,4,trioctylphosphine,2.242095008,None,0,None,0,None,0,None,0,None,0,5,210,20,578
indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,1.7,octylamine,1.52,None,0,None,0,None,0,6.752,180,10,580
indium acetate,1,tris(trimethylsilyl)phosphine,0.499,octadecene,75,None,0,myristic acid,3,None,0,None,0,None,0,None,0,75,270,180,585
indium trifluoroacetate,0.11,tris(trimethylsilyl)phosphine,0.1,octadecene,7,None,0,myristic acid,0.3,None,0,None,0,None,0,None,0,7,270,240,532
indium laurate,0.5,tris(trimethylsilyl)phosphine,0.25,octadecene,44,None,0,None,0,None,0,None,0,None,0,None,0,44,245,5,499
indium laurate,0.5,tris(trimethylsilyl)phosphine,0.25,octadecene,44,None,0,None,0,None,0,None,0,None,0,None,0,44,245,10,519
indium myristate,0.3,tris(trimethylsilyl)phosphine,0.15,octadecene,4,trioctylphosphine,2.242095008,None,0,None,0,None,0,None,0,None,0,5,210,10,511
indium laurate,0.5,tris(trimethylsilyl)phosphine,0.25,octadecene,44,None,0,None,0,None,0,None,0,None,0,None,0,44,245,15,530
indium myristate,0.3,tris(trimethylsilyl)phosphine,0.15,octadecene,4,trioctylphosphine,2.242095008,None,0,None,0,None,0,None,0,None,0,5,210,14,532
indium myristate,0.3,tris(trimethylgermyl)phosphine,0.15,octadecene,4,trioctylphosphine,2.242095008,None,0,None,0,None,0,None,0,None,0,5,210,10,529
